Folder,File,C_th_J_K,hA_W_K,T_amb_C,R_ohm,RMSE_C,MAE_C,R2,MaxErr_C,MAPE_pct
discharge,00141.csv,58.7286,0.001839,6.243,0.08,0.8565,0.6827,0.7303,1.9682,8.1744
discharge,00061.csv,53.2039,0.012703,6.356,0.08,0.6941,0.5582,0.7428,1.7685,6.8859
discharge,00021.csv,67.3175,0.010522,6.36,0.08,0.7626,0.6026,0.6667,1.9533,7.5464
discharge,00023.csv,49.7164,0.016726,6.068,0.08,0.8926,0.6919,0.5794,2.0277,8.7636
charge,00092.csv,500.0,0.129861,4.456,0.08,0.6327,0.5267,0.7138,1.6103,9.0547
discharge,00057.csv,55.0276,0.011551,6.289,0.08,0.8297,0.6579,0.6681,1.9202,8.1587
discharge,00067.csv,82.5219,0.001,5.592,0.08,0.6888,0.5726,0.8072,1.7101,7.4939
discharge,00091.csv,76.8192,0.001,6.214,0.08,0.6403,0.5368,0.8012,1.6945,6.647
discharge,00145.csv,61.4254,0.001,6.435,0.08,0.6477,0.5312,0.8327,1.6417,6.3455
discharge,00157.csv,56.4757,0.001,6.678,0.08,0.6035,0.4992,0.8691,1.3155,5.6829
discharge,00177.csv,60.9351,0.001,6.108,0.08,0.6469,0.5137,0.8583,1.6297,5.8823
discharge,00017.csv,39.8325,0.017076,5.826,0.08,0.9815,0.7872,0.5786,2.0784,10.0488
discharge,00073.csv,76.6152,0.001,6.026,0.08,0.6196,0.5205,0.8344,1.5441,6.4014
