File,R0_mOhm,R1_mOhm,C1_F,tau_s,RMSE_mV,MAE_mV,R2,MaxErr_mV,MAPE_pct,SOC_start_pct,SOC_end_pct,DoD_pct,Duration_min,n_samples,elapsed_s,Q_nom_Ah
00988.csv,49.89,50.415,472.36,23.814,9.398,7.894,0.99885,40.631,0.2299,100.0,29.8,70.2,85.0,396,33.7,2.0
00992.csv,80.717,19.356,591.32,11.446,7.194,6.126,0.999341,15.431,0.1816,100.0,30.39,69.61,84.26,391,36.1,2.0
00994.csv,49.917,50.385,456.56,23.004,8.236,6.831,0.999138,31.771,0.1986,100.0,30.75,69.25,83.84,389,38.6,2.0
00996.csv,52.36,47.93,481.97,23.101,9.177,7.682,0.998951,45.214,0.2257,100.0,31.27,68.73,83.22,385,34.1,2.0
00998.csv,69.209,30.945,549.83,17.014,7.694,6.618,0.999269,15.327,0.1946,100.0,32.22,67.78,82.1,379,30.9,2.0
01000.csv,58.378,41.868,513.91,21.516,8.594,7.037,0.999103,40.277,0.2095,100.0,32.34,67.66,81.94,377,32.1,2.0
01004.csv,83.437,16.64,905.4,15.066,7.813,5.952,0.999253,49.437,0.1848,100.0,32.91,67.09,81.24,373,24.4,2.0
01006.csv,85.194,14.86,635.84,9.448,6.571,5.562,0.999468,15.021,0.1666,100.0,33.61,66.39,80.4,368,30.3,2.0
01008.csv,87.543,12.499,621.43,7.767,6.987,5.652,0.999413,33.438,0.1722,100.0,34.21,65.79,79.7,364,32.7,2.0
01010.csv,85.868,14.194,934.4,13.263,7.341,5.699,0.999347,43.368,0.1756,100.0,34.78,65.22,79.02,360,27.3,2.0
